sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
53,7.29814239999996,"2026-04-01T01:48:56.8223623Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02394575,1.135336,-0.6823959,0.2254782,0.00473721,0.01998743,0.9740316,0,,,,,,
54,7.30977520000033,"2026-04-01T01:48:56.8331205Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02377379,1.135353,-0.6823712,0.2254443,0.004842433,0.01994234,0.9740399,0,,,,,,
55,7.32056039999952,"2026-04-01T01:48:56.8428126Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02354537,1.13537,-0.6823452,0.2253773,0.004840952,0.01989683,0.9740564,0,,,,,,
56,7.33120260000032,"2026-04-01T01:48:56.8560507Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02338888,1.135364,-0.6823843,0.2253871,0.004903862,0.0198529,0.9740546,0,,,,,,
57,7.34338579999985,"2026-04-01T01:48:56.8667511Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02320256,1.135437,-0.6824127,0.2253801,0.005001281,0.01974016,0.9740581,0,,,,,,
58,7.35412029999952,"2026-04-01T01:48:56.8769520Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0230014,1.13543,-0.6824487,0.2253873,0.005088929,0.01966403,0.9740575,0,,,,,,
59,7.36514439999974,"2026-04-01T01:48:56.8856743Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02284684,1.135438,-0.6824778,0.2254768,0.00506899,0.01961355,0.9740379,0,,,,,,
60,7.37312990000009,"2026-04-01T01:48:56.8953214Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02263292,1.135435,-0.6825306,0.2253678,0.005201217,0.01945915,0.9740655,0,,,,,,
61,7.38404249999985,"2026-04-01T01:48:56.9071469Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02250237,1.135513,-0.6825958,0.2254018,0.005183841,0.01933476,0.9740602,0,,,,,,
62,7.39489039999989,"2026-04-01T01:48:56.9182620Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02226957,1.13552,-0.6826712,0.2253971,0.005226379,0.01920611,0.9740636,0,,,,,,
63,7.40589379999983,"2026-04-01T01:48:56.9285183Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02216741,1.135521,-0.6827664,0.2252752,0.005171528,0.01905445,0.9740951,0,,,,,,
64,7.41656039999998,"2026-04-01T01:48:56.9406757Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02200807,1.135619,-0.6828524,0.2252531,0.005147769,0.01885525,0.9741042,0,,,,,,
65,7.4281804000002,"2026-04-01T01:48:56.9513383Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02182527,1.135634,-0.6829873,0.2251248,0.005115755,0.01871982,0.9741367,0,,,,,,
66,7.43998769999962,"2026-04-01T01:48:56.9640926Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02161325,1.13565,-0.6831284,0.2249779,0.005071478,0.01854878,0.9741741,0,,,,,,
